"name","n","m","heuristic","non-permutation insertions [%]","makespan","time.µs."
"vrfl004",100,20,"RN",40,6370,676349
"vrfl004",100,20,"RN",50,6366,713165
"vrfl004",100,20,"RN",60,6351,778527
"vrfl004",100,20,"RN",70,6346,824146
"vrfl004",100,20,"RN",80,6397,810325
"vrfl004",100,20,"RN",90,6337,765155
"vrfl004",100,20,"RN",100,6349,785429
"vrfl004",100,20,"Pa",0,6342,383780
"vrfl004",100,20,"Pa",10,6326,772997
"vrfl004",100,20,"Pa",20,6343,1043555
"vrfl004",100,20,"Pa",30,6353,1314290
"vrfl004",100,20,"Pa",40,6313,1825020
"vrfl004",100,20,"Pa",50,6302,1609835
"vrfl004",100,20,"Pa",60,6325,2016005
"vrfl004",100,20,"Pa",70,6353,2421819
"vrfl004",100,20,"Pa",80,6333,2128034
"vrfl004",100,20,"Pa",90,6354,1957116
"vrfl004",100,20,"Pa",100,6358,1912579
"vrfl004",100,20,"Pc",0,6389,108711
"vrfl004",100,20,"Pc",10,6372,266167
"vrfl004",100,20,"Pc",20,6362,296097
"vrfl004",100,20,"Pc",30,6357,321956
"vrfl004",100,20,"Pc",40,6374,498422
"vrfl004",100,20,"Pc",50,6432,409029
"vrfl004",100,20,"Pc",60,6350,610466
"vrfl004",100,20,"Pc",70,6388,560104
"vrfl004",100,20,"Pc",80,6389,550718
"vrfl004",100,20,"Pc",90,6395,564324
"vrfl004",100,20,"Pc",100,6351,551041
"vrfl004",100,20,"LJP",0,6579,1894
"vrfl005",100,20,"NEH",0,6680,1183
"vrfl005",100,20,"NEH",10,6680,1505
"vrfl005",100,20,"NEH",20,6668,2076
"vrfl005",100,20,"NEH",30,6697,2265
"vrfl005",100,20,"NEH",40,6577,2817
"vrfl005",100,20,"NEH",50,6707,3269
"vrfl005",100,20,"NEH",60,6620,3605
"vrfl005",100,20,"NEH",70,6607,3937
"vrfl005",100,20,"NEH",80,6654,4367
"vrfl005",100,20,"NEH",90,6621,4764
"vrfl005",100,20,"NEH",100,6621,4678
"vrfl005",100,20,"BRN",0,6680,1040
"vrfl005",100,20,"BRN",10,6596,4044
"vrfl005",100,20,"BRN",20,6591,6438
"vrfl005",100,20,"BRN",30,6572,8026
"vrfl005",100,20,"BRN",40,6509,10289
"vrfl005",100,20,"BRN",50,6598,9906
"vrfl005",100,20,"BRN",60,6607,12085
"vrfl005",100,20,"BRN",70,6610,12279
"vrfl005",100,20,"BRN",80,6618,12829
"vrfl005",100,20,"BRN",90,6580,13620
"vrfl005",100,20,"BRN",100,6599,13916
"vrfl005",100,20,"FF",0,6561,1084
"vrfl005",100,20,"FF",10,6553,1540
"vrfl005",100,20,"FF",20,6602,1906
"vrfl005",100,20,"FF",30,6596,2327
"vrfl005",100,20,"FF",40,6595,2889
"vrfl005",100,20,"FF",50,6649,3186
"vrfl005",100,20,"FF",60,6600,3747
"vrfl005",100,20,"FF",70,6544,4036
"vrfl005",100,20,"FF",80,6663,4425
"vrfl005",100,20,"FF",90,6561,4556
"vrfl005",100,20,"FF",100,6620,4873
"vrfl005",100,20,"F5",0,6453,160508
"vrfl005",100,20,"F5",10,6352,319919
"vrfl005",100,20,"F5",20,6435,423116
"vrfl005",100,20,"F5",30,6429,520383
"vrfl005",100,20,"F5",40,6401,543409
"vrfl005",100,20,"F5",50,6416,681309
"vrfl005",100,20,"F5",60,6389,638612
"vrfl005",100,20,"F5",70,6449,703402
"vrfl005",100,20,"F5",80,6416,715532
"vrfl005",100,20,"F5",90,6500,696290
"vrfl005",100,20,"F5",100,6454,730047
"vrfl005",100,20,"RN",0,6436,159176
"vrfl005",100,20,"RN",10,6412,280513
"vrfl005",100,20,"RN",20,6400,406977
"vrfl005",100,20,"RN",30,6431,565816
"vrfl005",100,20,"RN",40,6404,655792
"vrfl005",100,20,"RN",50,6389,738074
"vrfl005",100,20,"RN",60,6426,758014
"vrfl005",100,20,"RN",70,6406,901414
"vrfl005",100,20,"RN",80,6406,786930
"vrfl005",100,20,"RN",90,6380,749389
"vrfl005",100,20,"RN",100,6380,749208
"vrfl005",100,20,"Pa",0,6380,381965
"vrfl005",100,20,"Pa",10,6317,940466
"vrfl005",100,20,"Pa",20,6424,1012434
"vrfl005",100,20,"Pa",30,6372,1381597
"vrfl005",100,20,"Pa",40,6386,1629209
"vrfl005",100,20,"Pa",50,6384,1977931
"vrfl005",100,20,"Pa",60,6377,2182113
"vrfl005",100,20,"Pa",70,6372,2169443
"vrfl005",100,20,"Pa",80,6375,2007243
"vrfl005",100,20,"Pa",90,6374,2028013
"vrfl005",100,20,"Pa",100,6374,2039311
"vrfl005",100,20,"Pc",0,6472,135060
"vrfl005",100,20,"Pc",10,6437,228067
"vrfl005",100,20,"Pc",20,6433,312383
"vrfl005",100,20,"Pc",30,6433,458087
"vrfl005",100,20,"Pc",40,6438,494237
"vrfl005",100,20,"Pc",50,6403,516736
"vrfl005",100,20,"Pc",60,6408,696212
"vrfl005",100,20,"Pc",70,6408,818928
"vrfl005",100,20,"Pc",80,6403,712018
"vrfl005",100,20,"Pc",90,6431,648253
