"name","n","m","heuristic","non-permutation insertions [%]","makespan","time.µs."
"ta002",20,5,"FF",90,1397,41
"ta002",20,5,"FF",100,1397,41
"ta002",20,5,"F5",0,1365,225
"ta002",20,5,"F5",10,1365,310
"ta002",20,5,"F5",20,1365,371
"ta002",20,5,"F5",30,1365,485
"ta002",20,5,"F5",40,1365,540
"ta002",20,5,"F5",50,1365,569
"ta002",20,5,"F5",60,1365,615
"ta002",20,5,"F5",70,1365,607
"ta002",20,5,"F5",80,1365,627
"ta002",20,5,"F5",90,1365,655
"ta002",20,5,"F5",100,1365,616
"ta002",20,5,"RN",0,1360,349
"ta002",20,5,"RN",10,1360,529
"ta002",20,5,"RN",20,1360,627
"ta002",20,5,"RN",30,1365,790
"ta002",20,5,"RN",40,1365,884
"ta002",20,5,"RN",50,1365,920
"ta002",20,5,"RN",60,1365,983
"ta002",20,5,"RN",70,1365,972
"ta002",20,5,"RN",80,1365,1004
"ta002",20,5,"RN",90,1365,987
"ta002",20,5,"RN",100,1365,1004
"ta002",20,5,"Pa",0,1360,458
"ta002",20,5,"Pa",10,1360,685
"ta002",20,5,"Pa",20,1360,800
"ta002",20,5,"Pa",30,1365,1132
"ta002",20,5,"Pa",40,1365,1185
"ta002",20,5,"Pa",50,1365,1187
"ta002",20,5,"Pa",60,1365,1238
"ta002",20,5,"Pa",70,1365,1169
"ta002",20,5,"Pa",80,1365,1163
"ta002",20,5,"Pa",90,1365,1165
"ta002",20,5,"Pa",100,1365,1163
"ta002",20,5,"Pc",0,1370,113
"ta002",20,5,"Pc",10,1368,154
"ta002",20,5,"Pc",20,1358,186
"ta002",20,5,"Pc",30,1358,202
"ta002",20,5,"Pc",40,1358,208
"ta002",20,5,"Pc",50,1358,269
"ta002",20,5,"Pc",60,1358,273
"ta002",20,5,"Pc",70,1358,246
"ta002",20,5,"Pc",80,1358,279
"ta002",20,5,"Pc",90,1358,280
"ta002",20,5,"Pc",100,1358,285
"ta002",20,5,"LJP",0,1383,68
"ta003",20,5,"NEH",0,1159,17
"ta003",20,5,"NEH",10,1159,21
"ta003",20,5,"NEH",20,1159,23
"ta003",20,5,"NEH",30,1159,30
"ta003",20,5,"NEH",40,1140,33
"ta003",20,5,"NEH",50,1140,35
"ta003",20,5,"NEH",60,1107,40
"ta003",20,5,"NEH",70,1107,42
"ta003",20,5,"NEH",80,1107,43
"ta003",20,5,"NEH",90,1107,44
"ta003",20,5,"NEH",100,1107,50
"ta003",20,5,"BRN",0,1159,15
"ta003",20,5,"BRN",10,1140,34
"ta003",20,5,"BRN",20,1133,42
"ta003",20,5,"BRN",30,1101,73
"ta003",20,5,"BRN",40,1101,91
"ta003",20,5,"BRN",50,1107,99
"ta003",20,5,"BRN",60,1104,96
"ta003",20,5,"BRN",70,1104,103
"ta003",20,5,"BRN",80,1104,116
"ta003",20,5,"BRN",90,1104,113
"ta003",20,5,"BRN",100,1104,114
"ta003",20,5,"FF",0,1132,19
"ta003",20,5,"FF",10,1132,24
"ta003",20,5,"FF",20,1132,26
"ta003",20,5,"FF",30,1132,30
"ta003",20,5,"FF",40,1132,33
"ta003",20,5,"FF",50,1109,38
"ta003",20,5,"FF",60,1147,47
"ta003",20,5,"FF",70,1147,47
"ta003",20,5,"FF",80,1136,49
"ta003",20,5,"FF",90,1107,49
"ta003",20,5,"FF",100,1107,49
"ta003",20,5,"F5",0,1085,332
"ta003",20,5,"F5",10,1080,585
"ta003",20,5,"F5",20,1080,632
"ta003",20,5,"F5",30,1078,835
"ta003",20,5,"F5",40,1078,900
"ta003",20,5,"F5",50,1078,995
"ta003",20,5,"F5",60,1078,987
"ta003",20,5,"F5",70,1078,1039
"ta003",20,5,"F5",80,1078,1007
"ta003",20,5,"F5",90,1078,1029
"ta003",20,5,"F5",100,1078,1055
"ta003",20,5,"RN",0,1098,417
"ta003",20,5,"RN",10,1098,640
"ta003",20,5,"RN",20,1098,869
"ta003",20,5,"RN",30,1098,972
"ta003",20,5,"RN",40,1079,1133
"ta003",20,5,"RN",50,1098,1319
"ta003",20,5,"RN",60,1087,1266
"ta003",20,5,"RN",70,1087,1286
"ta003",20,5,"RN",80,1087,1279
"ta003",20,5,"RN",90,1087,1312
"ta003",20,5,"RN",100,1087,1294
"ta003",20,5,"Pa",0,1092,801
"ta003",20,5,"Pa",10,1081,1272
"ta003",20,5,"Pa",20,1100,1727
"ta003",20,5,"Pa",30,1080,1994
"ta003",20,5,"Pa",40,1079,1854
"ta003",20,5,"Pa",50,1098,1853
"ta003",20,5,"Pa",60,1076,2130
"ta003",20,5,"Pa",70,1076,2155
"ta003",20,5,"Pa",80,1076,2197
"ta003",20,5,"Pa",90,1076,2206
"ta003",20,5,"Pa",100,1076,2188
"ta003",20,5,"Pc",0,1100,235
"ta003",20,5,"Pc",10,1100,267
"ta003",20,5,"Pc",20,1100,274
"ta003",20,5,"Pc",30,1076,1034
"ta003",20,5,"Pc",40,1095,734
"ta003",20,5,"Pc",50,1100,412
"ta003",20,5,"Pc",60,1098,623
"ta003",20,5,"Pc",70,1098,625
"ta003",20,5,"Pc",80,1098,653
"ta003",20,5,"Pc",90,1098,665
"ta003",20,5,"Pc",100,1098,677
"ta003",20,5,"LJP",0,1111,49
"ta004",20,5,"NEH",0,1325,18
"ta004",20,5,"NEH",10,1325,23
"ta004",20,5,"NEH",20,1325,24
"ta004",20,5,"NEH",30,1325,28
"ta004",20,5,"NEH",40,1325,31
"ta004",20,5,"NEH",50,1325,36
"ta004",20,5,"NEH",60,1370,41
"ta004",20,5,"NEH",70,1370,37
"ta004",20,5,"NEH",80,1370,41
"ta004",20,5,"NEH",90,1370,44
"ta004",20,5,"NEH",100,1370,43
"ta004",20,5,"BRN",0,1325,15
"ta004",20,5,"BRN",10,1325,31
"ta004",20,5,"BRN",20,1325,49
"ta004",20,5,"BRN",30,1325,59
"ta004",20,5,"BRN",40,1302,66
"ta004",20,5,"BRN",50,1326,76
"ta004",20,5,"BRN",60,1359,118
"ta004",20,5,"BRN",70,1359,106
"ta004",20,5,"BRN",80,1359,116
"ta004",20,5,"BRN",90,1359,117
"ta004",20,5,"BRN",100,1359,123
"ta004",20,5,"FF",0,1305,20
"ta004",20,5,"FF",10,1305,24
"ta004",20,5,"FF",20,1305,27
"ta004",20,5,"FF",30,1305,30
"ta004",20,5,"FF",40,1306,35
"ta004",20,5,"FF",50,1306,38
"ta004",20,5,"FF",60,1306,39
"ta004",20,5,"FF",70,1306,43
"ta004",20,5,"FF",80,1335,42
"ta004",20,5,"FF",90,1344,50
"ta004",20,5,"FF",100,1344,51
"ta004",20,5,"F5",0,1299,323
"ta004",20,5,"F5",10,1299,433
"ta004",20,5,"F5",20,1299,567
